sted_raa,antall,kanonisk_sted,amt_lan,land
fredriksstad sml,1,Fredrikstad kjøpstad,Smaalenenes amt,Norge
fr stad sml,1,Fredrikstad kjøpstad,Smaalenenes amt,Norge
fr stad,1,Fredrikstad kjøpstad,Smaalenenes amt,Norge
fredriksstad,1,Fredrikstad kjøpstad,Smaalenenes amt,Norge
ganerød sm,1,Idd herred,Smaalenenes amt,Norge
ganerød id sm,1,Idd herred,Smaalenenes amt,Norge
gilderød pr berg sm,1,Berg herred,Smaalenenes amt,Norge
glemming sm,1,Glemminge herred,Smaalenenes amt,Norge
greaker sm,1,Tune herred,Smaalenenes amt,Norge
greaaker sm,1,Tune herred,Smaalenenes amt,Norge
gaar bjærge id sm,1,Idd herred,Smaalenenes amt,Norge
hafslund sm,1,Skjeberg herred,Smaalenenes amt,Norge
helle ski sokn,1,Skiptvet herred,Smaalenenes amt,Norge
herføl hvaløer sm,1,Hvaler herred,Smaalenenes amt,Norge
hobaal sogn sm,1,Hobøl herred,Smaalenenes amt,Norge
hole sm,1,Trøgstad herred,Smaalenenes amt,Norge
hov id sm,1,Idd herred,Smaalenenes amt,Norge
hvaler,1,Hvaler herred,Smaalenenes amt,Norge
hvalerøerne sm,1,Hvaler herred,Smaalenenes amt,Norge
hvaller sm,1,Hvaler herred,Smaalenenes amt,Norge
hvaløer hvaløerne sm,1,Hvaler herred,Smaalenenes amt,Norge
hvaløer præstegj sm,1,Hvaler herred,Smaalenenes amt,Norge
hvalørerne sm,1,Hvaler herred,Smaalenenes amt,Norge
hvalørne,1,Hvaler herred,Smaalenenes amt,Norge
id sogn sm bergs,1,Idd herred,Smaalenenes amt,Norge
id enigdalen sm,1,Idd herred,Smaalenenes amt,Norge
id enningdalen sm,1,Idd herred,Smaalenenes amt,Norge
id pr frhald,1,Idd herred,Smaalenenes amt,Norge
id præstegjeld sm,1,Idd herred,Smaalenenes amt,Norge
id prästjäld,1,Idd herred,Smaalenenes amt,Norge
id sm skoningsfos,1,Idd herred,Smaalenenes amt,Norge
bakke id sm,1,Idd herred,Smaalenenes amt,Norge
berby id sml,1,Idd herred,Smaalenenes amt,Norge
bereby id sm,1,Idd herred,Smaalenenes amt,Norge
bestdalen id sm,1,Idd herred,Smaalenenes amt,Norge
bjørnstad enningdalen sm,1,Idd herred,Smaalenenes amt,Norge
eningdal id sm,1,Idd herred,Smaalenenes amt,Norge
eningedalen,1,Idd herred,Smaalenenes amt,Norge
eningedalen id sm,1,Idd herred,Smaalenenes amt,Norge
enningdal sm,1,Idd herred,Smaalenenes amt,Norge
enningdalen smaalenene,1,Idd herred,Smaalenenes amt,Norge
enningdalen id sm,1,Idd herred,Smaalenenes amt,Norge
enningdalen id prg sm,1,Idd herred,Smaalenenes amt,Norge
enningdalen id ved fr hald sm,1,Idd herred,Smaalenenes amt,Norge
id sm byn,1,Idd herred,Smaalenenes amt,Norge
id smaalenene,1,Idd herred,Smaalenenes amt,Norge
ide prgj sm,1,Idd herred,Smaalenenes amt,Norge
ide præstegjæld sm,1,Idd herred,Smaalenenes amt,Norge
ide song sm,1,Idd herred,Smaalenenes amt,Norge
idsogn sm,1,Idd herred,Smaalenenes amt,Norge
ingedal sogn sm,1,Skjeberg herred,Smaalenenes amt,Norge
ingedal sm,1,Skjeberg herred,Smaalenenes amt,Norge
ingedal præstegj sm,1,Skjeberg herred,Smaalenenes amt,Norge
kirkø hvaløer sm,1,Hvaler herred,Smaalenenes amt,Norge
kirkøen sm,1,Hvaler herred,Smaalenenes amt,Norge
knegterød id sogn sm,1,Idd herred,Smaalenenes amt,Norge
kornsjø sml,1,Idd herred,Smaalenenes amt,Norge
kristiansand s sml,1,Smaalenenes amt (uspesifisert),Smaalenenes amt,Norge
lier bu fredrikshald,1,Fredrikshald kjøpstad,Smaalenenes amt,Norge
lihold id sm,1,Idd herred,Smaalenenes amt,Norge
lisleby sml,1,Glemminge herred,Smaalenenes amt,Norge
lisleby sm,1,Glemminge herred,Smaalenenes amt,Norge
marker,1,Marker herred,Smaalenenes amt,Norge
mos sm,1,Moss kjøpstad,Smaalenenes amt,Norge
moss sml,1,Moss kjøpstad,Smaalenenes amt,Norge
i moss sm,1,Moss kjøpstad,Smaalenenes amt,Norge
moss landsogn sm,1,Moss landsogn herred,Smaalenenes amt,Norge
nødenæs sm,1,Skjeberg herred,Smaalenenes amt,Norge
nøssemark sm,1,Smaalenenes amt (uspesifisert),Smaalenenes amt,Norge
onsø sogn sm,1,Onsøy herred,Smaalenenes amt,Norge
prætbakke sm,1,Idd herred,Smaalenenes amt,Norge
rakestad sm,1,Rakkestad herred,Smaalenenes amt,Norge
eng rakkestad sm,1,Rakkestad herred,Smaalenenes amt,Norge
rakkestad sogn sm,1,Rakkestad herred,Smaalenenes amt,Norge
rokke sml,1,Berg herred,Smaalenenes amt,Norge
rokke i berg sogn sm,1,Berg herred,Smaalenenes amt,Norge
rud trøgstad sm,1,Trøgstad herred,Smaalenenes amt,Norge
rygge smaal,1,Rygge herred,Smaalenenes amt,Norge
rødnes sm,1,Rødenes herred,Smaalenenes amt,Norge
rødnæs sml,1,Rødenes herred,Smaalenenes amt,Norge
rørbæk i berg smålenene sm,1,Berg herred,Smaalenenes amt,Norge
raade sml,1,Råde herred,Smaalenenes amt,Norge
raade smaal,1,Råde herred,Smaalenenes amt,Norge
sanne og soli brug,1,Sanne og Soli brug,Smaalenenes amt,Norge
sarpsborg sml,1,Sarpsborg kjøpstad,Smaalenenes amt,Norge
sauøen sm,1,Smaalenenes amt (uspesifisert),Smaalenenes amt,Norge
silvig i asak sm,1,Berg herred,Smaalenenes amt,Norge
sjeber sm,1,Skjeberg herred,Smaalenenes amt,Norge
skeberg norge sm,1,Skjeberg herred,Smaalenenes amt,Norge
skiptvedt sm,1,Skiptvett herred,Smaalenenes amt,Norge
skiptvedt ekeberg sm,1,Skiptvett herred,Smaalenenes amt,Norge
skjebeg sm,1,Smaalenenes amt (uspesifisert),Smaalenenes amt,Norge
engedalen skjeberg sm,1,Skjeberg herred,Smaalenenes amt,Norge
skjebergs herred sm,1,Berg herred,Smaalenenes amt,Norge
skolleborg aremark sm,1,Aremark herred,Smaalenenes amt,Norge
smaalenene,1,Uspesifisert,Smaalenenes amt,Norge
snekketorp id sm,1,Idd herred,Smaalenenes amt,Norge
sommero id sm,1,Idd herred,Smaalenenes amt,Norge
sondre sande hvaler,1,Søndre Sandøy,Smaalenenes amt,Norge
sorgenfri pr fredrikstad sm,1,Fredrikstad kjøpstad,Smaalenenes amt,Norge
sponvig sm,1,Berg herred,Smaalenenes amt,Norge
sponvigen sml,1,Berg herred,Smaalenenes amt,Norge
sponvigen berg sm,1,Berg herred,Smaalenenes amt,Norge
sponvigen i berg i smålenene sm,1,Berg herred,Smaalenenes amt,Norge
sponviken sm,1,Berg herred,Smaalenenes amt,Norge
svindal sm,1,Svindal,Smaalenenes amt,Norge
søndre sandø hvaler sm,1,Hvaler herred,Smaalenenes amt,Norge
søndre sandø hvaløerne sm,1,Hvaler herred,Smaalenenes amt,Norge
t berg,1,Berg herred,Smaalenenes amt,Norge
t fre,1,Fredrikshald kjøpstad,Smaalenenes amt,Norge
t fredrh,1,Fredrikshald kjøpstad,Smaalenenes amt,Norge
t tistedalen sm,1,Tistedalen,Smaalenenes amt,Norge
t tistedalen,1,Tistedalen,Smaalenenes amt,Norge
t tistedalen frhald sm,1,Tistedalen,Smaalenenes amt,Norge
thune sml,1,Tune herred,Smaalenenes amt,Norge
tisted,1,Tistedalen,Smaalenenes amt,Norge
torpedalen smaal a,1,Torpedalen A,Smaalenenes amt,Norge
torpedalen berg sm,1,Berg herred,Smaalenenes amt,Norge
torpedalen berg i smålenene,1,Berg herred,Smaalenenes amt,Norge
torpedalen berg sm a,1,Berg herred,Smaalenenes amt,Norge
torsnes sm,1,Smaalenenes amt (uspesifisert),Smaalenenes amt,Norge
torsnæs smaalenene sm,1,Smaalenenes amt (uspesifisert),Smaalenenes amt,Norge
tosnæs sm,1,Smaalenenes amt (uspesifisert),Smaalenenes amt,Norge
trygsta prestegjeld sm,1,Smaalenenes amt (uspesifisert),Smaalenenes amt,Norge
trygstad herred sm,1,Trøgstad herred,Smaalenenes amt,Norge
trygstad sm,1,Trøgstad herred,Smaalenenes amt,Norge
trygstad smålenen,1,Trøgstad herred,Smaalenenes amt,Norge
trykstad sm,1,Trøgstad herred,Smaalenenes amt,Norge
trykstad prestejel,1,Trøgstad herred,Smaalenenes amt,Norge
trøgstad sml,1,Trøgstad herred,Smaalenenes amt,Norge
trøgstad sogn sm,1,Trøgstad herred,Smaalenenes amt,Norge
tune sml,1,Tune herred,Smaalenenes amt,Norge
tune herred sm,1,Tune herred,Smaalenenes amt,Norge
tune pr gj sm,1,Tune herred,Smaalenenes amt,Norge
vale sm,1,Smaalenenes amt (uspesifisert),Smaalenenes amt,Norge
vartei sm,1,Varteig herred,Smaalenenes amt,Norge
vartteig sm,1,Varteig herred,Smaalenenes amt,Norge
veggesdahl berg sm,1,Berg herred,Smaalenenes amt,Norge
vesterøerne hvaløerne sm,1,Hvaler herred,Smaalenenes amt,Norge
vaaler i smaalenene,1,Våler herred,Smaalenenes amt,Norge
våler pr moss smaalenene,1,Moss kjøpstad,Smaalenenes amt,Norge
waler sm,1,Våler herred,Smaalenenes amt,Norge
yd sm,1,Smaalenenes amt (uspesifisert),Smaalenenes amt,Norge
ødemak sm,1,Ødemark herred,Smaalenenes amt,Norge
øen herføll sm,1,Smaalenenes amt (uspesifisert),Smaalenenes amt,Norge
ømark smalenene sm,1,Smaalenenes amt (uspesifisert),Smaalenenes amt,Norge
ør id sm,1,Idd herred,Smaalenenes amt,Norge
ørje sm,1,Smaalenenes amt (uspesifisert),Smaalenenes amt,Norge
ørkedals præstegjeld sm,1,Smaalenenes amt (uspesifisert),Smaalenenes amt,Norge
aaskasen id song sm,1,Idd herred,Smaalenenes amt,Norge
klep jæderen sta,1,Klep Jæderen,Stavanger amt,Norge
kopervik sta,1,Kopervik,Stavanger amt,Norge
kopervik sogn sta,1,Kopervik,Stavanger amt,Norge
skudesnæs sta,1,Skudesnæs,Stavanger amt,Norge
sogndal dalene stv,1,Sogndal Dalene,Stavanger amt,Norge
strand sta,1,Strand,Stavanger amt,Norge
strand pr stavanger stv,1,Stavanger,Stavanger amt,Norge
stockholm sverige,1,Stockholm,Stockholms län,Sverige
stokholm,1,Stockholm,Stockholms län,Sverige
stokholms læn,1,Stockholm,Stockholms län,Sverige
haus prgj bergens stift sb,1,Haus  Bergens Stift,Søndre Bergenhus amt,Norge
herlø prestegjeld sb,1,Herlø,Søndre Bergenhus amt,Norge
vikør i hardanger sb,1,Vikør,Søndre Bergenhus amt,Norge
øistesø hardanger sb,1,Øistesø Hardanger,Søndre Bergenhus amt,Norge
holtaalen s trondhj amt,1,Holtaalen,Søndre Trondhjems amt,Norge
horrig guldalen,1,Horrig,Søndre Trondhjems amt,Norge
orkedalen st,1,Orkedalen,Søndre Trondhjems amt,Norge
rasvaag hitterø st,1,Rasvaag Hitterø,Søndre Trondhjems amt,Norge
aafjorden st,1,Aafjorden,Søndre Trondhjems amt,Norge
kvædfjord tr,1,Kvædfjord,Tromsø amt,Norge
kvædfjord tromsø tr,1,Tromsø,Tromsø amt,Norge
lyngen tromsø,1,Tromsø,Tromsø amt,Norge
tranø senjen nordland,1,Tranø,Tromsø amt,Norge
tromsø tr,1,Tromsø,Tromsø amt,Norge
tromsø,1,Tromsø,Tromsø amt,Norge
rød sverige,1,Rød,Ukjent län,Sverige
arvika,1,Arvika,Värmlands län,Sverige
arvika sverige,1,Arvika,Värmlands län,Sverige
blomskog,1,Blomskog,Värmlands län,Sverige
blomskog s sverige,1,Blomskog,Värmlands län,Sverige
blomskog sverige,1,Blomskog,Värmlands län,Sverige
botelsæter s sverge,1,Botelsäter,Värmlands län,Sverige
chalottenberg sverige,1,Chalottenberg,Värmlands län,Sverige
charlotenberg,1,Charlottenberg,Värmlands län,Sverige
fjella isæter sverige,1,Fjella Isäter,Värmlands län,Sverige
gillberga sverige,1,Gillberga,Värmlands län,Sverige
gilleberga sverige,1,Gilleberga,Värmlands län,Sverige
hult vaarvik sverige,1,Vaarvik,Värmlands län,Sverige
karlstad sverige,1,Karlstad,Värmlands län,Sverige
kil soken sverige,1,Kil,Värmlands län,Sverige
kristineham sverige,1,Kristineham,Värmlands län,Sverige
kristinehavn sverige,1,Kristinehavn,Värmlands län,Sverige
lindfors brug sverige,1,Lindfor,Värmlands län,Sverige
lysvik sverige,1,Lysvik,Värmlands län,Sverige
monkfors sverige,1,Munkfors,Värmlands län,Sverige
olserud soken sverge,1,Olserud,Värmlands län,Sverige
selerød vermland sverige,1,Vermland,Värmlands län,Sverige
stavnæs vermeland,1,Stavnäs,Värmlands län,Sverige
sunnanå sverige,1,Sunnanå,Värmlands län,Sverige
sælbodal sverige,1,Sälbodal,Värmlands län,Sverige
tøchsmark sogn sverige,1,Tøcksmark,Värmlands län,Sverige
vermeland sverige,1,Vermeland,Värmlands län,Sverige
vermland sverget,1,Vermland,Värmlands län,Sverige
værmeland,1,Värmland,Värmlands län,Sverige
værmeland sverige,1,Værmeland,Värmlands län,Sverige
värmland,1,Värmland,Värmlands län,Sverige
vaarvik sverige,1,Vaarvik,Värmlands län,Sverige
wærmeland sverige,1,Värmland,Värmlands län,Sverige
østmark sverige,1,Östmark,Värmlands län,Sverige
skelefta sverige,1,Skellefteå,Västerbottens län,Sverige
vestergøtlan sverige,1,Västergötland,Västergötland,Sverige
vesterjötland sverige,1,Västergötland,Västergötland,Sverige
wester län sverige,1,Västergötland,Västergötland,Sverige
boraas sverige,1,Borås,Älvsborgs län (Dalsland),Sverige
braalanda sverige,1,Braalanda,Älvsborgs län (Dalsland),Sverige
dahlland sverige,1,Dalsland,Älvsborgs län (Dalsland),Sverige
dahls pst sverige,1,Dalsland,Älvsborgs län (Dalsland),Sverige
dahlsl sv,1,Dalsland,Älvsborgs län (Dalsland),Sverige
dahlslald,1,Dalsland,Älvsborgs län (Dalsland),Sverige
dahlsland sv,1,Dalsland,Älvsborgs län (Dalsland),Sverige
dahlsland sverge,1,Dahlsland,Älvsborgs län (Dalsland),Sverige
dalslan,1,Dalsland,Älvsborgs län (Dalsland),Sverige
dalsland sv,1,Dalsland,Älvsborgs län (Dalsland),Sverige
dalsland sverget,1,Dalsland,Älvsborgs län (Dalsland),Sverige
dalsland sogn sverige,1,Dalsland,Älvsborgs län (Dalsland),Sverige
dalsland swerige,1,Dalsland,Älvsborgs län (Dalsland),Sverige
elsborgs len,1,Älvsborg,Älvsborgs län (Dalsland),Sverige
elfborgs læn sverige,1,Älvsborg,Älvsborgs län (Dalsland),Sverige
elfsborg län sverige,1,Elfsborg,Älvsborgs län (Dalsland),Sverige
elfsborgs len ant?? sværige,1,Elfsborgs,Älvsborgs län (Dalsland),Sverige
elsborgs len sverige,1,Elsborgs,Älvsborgs län (Dalsland),Sverige
erska sverige,1,Erska,Älvsborgs län (Dalsland),Sverige
forska sverige,1,Forska,Älvsborgs län (Dalsland),Sverige
fristad sverige,1,Fristad,Älvsborgs län (Dalsland),Sverige
frøskog sveriget,1,Fröskog,Älvsborgs län (Dalsland),Sverige
fargeland sogn,1,Fargeland,Älvsborgs län (Dalsland),Sverige
fergelanda,1,Färgelanda,Älvsborgs län (Dalsland),Sverige
færgelanda sverige,1,Färgelanda,Älvsborgs län (Dalsland),Sverige
gasiberg i dalsland sverige,1,Dalsland,Älvsborgs län (Dalsland),Sverige
greppered forsamlin sverige,1,Greppered,Älvsborgs län (Dalsland),Sverige
heselskog elfsborgs læn sverige,1,Elfsborgs,Älvsborgs län (Dalsland),Sverige
hoff sogn elfsborg län sverige,1,Elfsborg,Älvsborgs län (Dalsland),Sverige
ilsäter tinglanda sverige,1,Ilsäter,Älvsborgs län (Dalsland),Sverige
marks herred elsborgs læn sverige,1,Elsborgs,Älvsborgs län (Dalsland),Sverige
rogstad sverige,1,Rogstad,Älvsborgs län (Dalsland),Sverige
rongedala boraas sverige,1,Sverige (uspesifisert),Älvsborgs län (Dalsland),Sverige
rur sverige,1,Rur,Älvsborgs län (Dalsland),Sverige
rüer socken sverige,1,Rüer,Älvsborgs län (Dalsland),Sverige
sanne sognet sverige,1,Sanne,Älvsborgs län (Dalsland),Sverige
sanne sverige,1,Sanne,Älvsborgs län (Dalsland),Sverige
sverige engedahl,1,Engedal,Älvsborgs län (Dalsland),Sverige
venersborg sverge,1,Venersborg,Älvsborgs län (Dalsland),Sverige
vennersborg,1,Vennersborg,Älvsborgs län (Dalsland),Sverige
vennersborg sverige,1,Vennersborg,Älvsborgs län (Dalsland),Sverige
frendefor s,1,Frendefors,Älvsborgs län (Dalsland),Sverige
wenersborg,1,Wenersborg,Älvsborgs län (Dalsland),Sverige
wennersborg sverige,1,Wennersborg,Älvsborgs län (Dalsland),Sverige
ødeborgs sogn sverige,1,Ödeborg,Älvsborgs län (Dalsland),Sverige
friskog,1,Friskogsocken (Åmål),Älvsborgs län (Dalsland),Sverige
åmål,1,Åmål,Älvsborgs län (Dalsland),Sverige
bjerkeholt pr åmol sverige,1,Bjerkeholt (Åmål),Älvsborgs län (Dalsland),Sverige
åmål sverige,1,Åmål,Älvsborgs län (Dalsland),Sverige
åsaka socken sverige,1,Åsaka,Älvsborgs län (Dalsland),Sverige
backa waarvik sverige,1,Backa (Vårvik),Älvsborgs län (Dalsland),Sverige
billingfors sverige,1,Billingsfors,Älvsborgs län (Dalsland),Sverige
billingsfors sverige,1,Billingsfors,Älvsborgs län (Dalsland),Sverige
bekkefors,1,Bekkefors,Älvsborgs län (Dalsland),Sverige
bækkefors sverige,1,Bækkefor,Älvsborgs län (Dalsland),Sverige
ed sogn sverige,1,Ed,Älvsborgs län (Dalsland),Sverige
ed sogn i sverige,1,Ed,Älvsborgs län (Dalsland),Sverige
ed sogn,1,Ed,Älvsborgs län (Dalsland),Sverige
dalsed,1,Dalsed,Älvsborgs län (Dalsland),Sverige
dalsed sverget,1,Dalsed,Älvsborgs län (Dalsland),Sverige
dalsed sogn sverige,1,Dalsed,Älvsborgs län (Dalsland),Sverige
ed sogn dahlsland,1,Ed,Älvsborgs län (Dalsland),Sverige
ed dalalen,1,Dals-Ed,Älvsborgs län (Dalsland),Sverige
ed sokken dalsland,1,Ed,Älvsborgs län (Dalsland),Sverige
ed dalsland,1,Dals-Ed,Älvsborgs län (Dalsland),Sverige
ed soken sverige,1,Ed,Älvsborgs län (Dalsland),Sverige
ed sverige t,1,Ed,Älvsborgs län (Dalsland),Sverige
edsogn sverige,1,Ed (Dals-Ed),Älvsborgs län (Dalsland),Sverige
dalskog elfsborg len sverige,1,Dalskog,Älvsborgs län (Dalsland),Sverige
ertmark dalsland,1,Ertemark,Älvsborgs län (Dalsland),Sverige
ertmark førsamling elsborgs län sverige,1,Ertmark,Älvsborgs län (Dalsland),Sverige
ertmerk s,1,Ertemark,Älvsborgs län (Dalsland),Sverige
fröskog elsfsborg sverige,1,Fröskog,Älvsborgs län (Dalsland),Sverige
frøskog sverige,1,Frøskog,Älvsborgs län (Dalsland),Sverige
gisæter sverige,1,Gisäter,Älvsborgs län (Dalsland),Sverige
gunnarsnæs socken sverige,1,Gunnarsnæ,Älvsborgs län (Dalsland),Sverige
gunnersnæs sverige,1,Gunnersnæ,Älvsborgs län (Dalsland),Sverige
gustafsfors sverige,1,Gustafsfor,Älvsborgs län (Dalsland),Sverige
gustavfors,1,Gustavfors,Älvsborgs län (Dalsland),Sverige
hede sogn,1,Hede,Älvsborgs län (Dalsland),Sverige
hede sverige,1,Hede,Älvsborgs län (Dalsland),Sverige
hobel sverige,1,Hobel,Älvsborgs län (Dalsland),Sverige
hobøl dalsland,1,Håbol,Älvsborgs län (Dalsland),Sverige
hobaal sokken dalsland,1,Håbol,Älvsborgs län (Dalsland),Sverige
holm sogn,1,Holm,Älvsborgs län (Dalsland),Sverige
holm præstegj sverige,1,Holm,Älvsborgs län (Dalsland),Sverige
holm s elfsborgs læn sverige,1,Holm,Älvsborgs län (Dalsland),Sverige
holm sverige,1,Holm,Älvsborgs län (Dalsland),Sverige
holmedal sverige,1,Holmedal,Älvsborgs län (Dalsland),Sverige
holms,1,Holms,Älvsborgs län (Dalsland),Sverige
holms sokn sverige,1,Holm,Älvsborgs län (Dalsland),Sverige
holms sogn sverige jerns sogn,1,Holm,Älvsborgs län (Dalsland),Sverige
høgseter posterat,1,Högsäter,Älvsborgs län (Dalsland),Sverige
høgsæt sogn i sverige,1,Høgsæt,Älvsborgs län (Dalsland),Sverige
høgsæt sogn sverige,1,Høgsæt,Älvsborgs län (Dalsland),Sverige
høgsæter,1,Høgsæter,Älvsborgs län (Dalsland),Sverige
høgsæter s,1,Høgsæter,Älvsborgs län (Dalsland),Sverige
høgsæter sverige,1,Høgsæter,Älvsborgs län (Dalsland),Sverige
høisæte,1,Høisæte,Älvsborgs län (Dalsland),Sverige
håbol,1,Håbol,Älvsborgs län (Dalsland),Sverige
håbol sverige,1,Håbol,Älvsborgs län (Dalsland),Sverige
håbøl sockn sverige,1,Håbol,Älvsborgs län (Dalsland),Sverige
håbøl sverige,1,Håbol,Älvsborgs län (Dalsland),Sverige
haabøl sogn sverige,1,Håbol,Älvsborgs län (Dalsland),Sverige
håbøl sverrige,1,Håbol,Älvsborgs län (Dalsland),Sverige
haabølsg sverige,1,Håbol,Älvsborgs län (Dalsland),Sverige
jerbo s elfsborgs læn sverige,1,Jerbo,Älvsborgs län (Dalsland),Sverige
jerbo sverige,1,Jerbo,Älvsborgs län (Dalsland),Sverige
jesets sogn sverige,1,Jesets,Älvsborgs län (Dalsland),Sverige
jesæter sogn sverige,1,Jesäter,Älvsborgs län (Dalsland),Sverige
ed førsaml kalmar læn sverige,1,Ed,Älvsborgs län (Dalsland),Sverige
lagseby dasland,1,Lagseby,Älvsborgs län (Dalsland),Sverige
lenarfors sverige,1,Lenartsfors,Älvsborgs län (Dalsland),Sverige
lenarsfors sverige,1,Lenartsfors,Älvsborgs län (Dalsland),Sverige
braaten lerdal sverige,1,Lerdal,Älvsborgs län (Dalsland),Sverige
lerdal dalsland,1,Lerdal,Älvsborgs län (Dalsland),Sverige
lerdalen dalsland sverige,1,Lerdalen,Älvsborgs län (Dalsland),Sverige
lerdals sogn swerige,1,Lerdal,Älvsborgs län (Dalsland),Sverige
nosmark sogn sverige,1,Nosmark,Älvsborgs län (Dalsland),Sverige
næssemärken sverige,1,Nössemark,Älvsborgs län (Dalsland),Sverige
nøsemark song sverige,1,Nøsemark,Älvsborgs län (Dalsland),Sverige
nøsemarken sverge,1,Nössemark,Älvsborgs län (Dalsland),Sverige
nössemark,1,Nössemark,Älvsborgs län (Dalsland),Sverige
nøssemarke sverige,1,Nössemark,Älvsborgs län (Dalsland),Sverige
nøssemærk sokken dalsland,1,Nøssemærk,Älvsborgs län (Dalsland),Sverige
rolanda,1,Rolanda,Älvsborgs län (Dalsland),Sverige
ryr i sverige,1,Ryr,Älvsborgs län (Dalsland),Sverige
ryrs sogn dalslan sverige,1,Ryr,Älvsborgs län (Dalsland),Sverige
røland sogn,1,Rölanda,Älvsborgs län (Dalsland),Sverige
røland sverige,1,Rölanda,Älvsborgs län (Dalsland),Sverige
rølanda dalsland,1,Rølanda,Älvsborgs län (Dalsland),Sverige
rølanda i sverige,1,Rølanda,Älvsborgs län (Dalsland),Sverige
silerud sogn sverige,1,Silerud,Älvsborgs län (Dalsland),Sverige
silrud sverige,1,Silrud,Älvsborgs län (Dalsland),Sverige
skenhall trankilsågn,1,Skenhall,Älvsborgs län (Dalsland),Sverige
skollerud,1,Skollerud,Älvsborgs län (Dalsland),Sverige
skollerud elborgs læn sverige,1,Skollerud,Älvsborgs län (Dalsland),Sverige
skållerud sogn,1,Skållerud,Älvsborgs län (Dalsland),Sverige
stenby dalsland,1,Stenby,Älvsborgs län (Dalsland),Sverige
stenby socken sverige,1,Stenby,Älvsborgs län (Dalsland),Sverige
steneby,1,Steneby,Älvsborgs län (Dalsland),Sverige
steneby soken sverige,1,Steneby,Älvsborgs län (Dalsland),Sverige
steneby sogn sverige,1,Steneby,Älvsborgs län (Dalsland),Sverige
sverige mellerud,1,Mellerud,Älvsborgs län (Dalsland),Sverige
tidselskog sverige,1,Tisselskog,Älvsborgs län (Dalsland),Sverige
toftedal svrege,1,Toftedal,Älvsborgs län (Dalsland),Sverige
tofvedal sverige,1,Tofvedal,Älvsborgs län (Dalsland),Sverige
torsko socken,1,Torsko,Älvsborgs län (Dalsland),Sverige
torsko sogn,1,Torsko,Älvsborgs län (Dalsland),Sverige
torskog sogn dalslan sverige,1,Torskog,Älvsborgs län (Dalsland),Sverige
torskog sverige,1,Torskog,Älvsborgs län (Dalsland),Sverige
trankil sogn,1,Trankil,Älvsborgs län (Dalsland),Sverige
trankil,1,Trankil,Älvsborgs län (Dalsland),Sverige
trankil sverige,1,Trankil,Älvsborgs län (Dalsland),Sverige
trankil sogn sverige,1,Trankil,Älvsborgs län (Dalsland),Sverige
trankils socken sverige,1,Trankil,Älvsborgs län (Dalsland),Sverige
trankils sogn sverige,1,Trankil,Älvsborgs län (Dalsland),Sverige
trankjl sverige,1,Trankil,Älvsborgs län (Dalsland),Sverige
tøftedal sogn,1,Tøftedal,Älvsborgs län (Dalsland),Sverige
tøftedal,1,Tøftedal,Älvsborgs län (Dalsland),Sverige
tøftedal i sverige,1,Tøftedal,Älvsborgs län (Dalsland),Sverige
tøftedal sogn sverige,1,Tøftedal,Älvsborgs län (Dalsland),Sverige
tøftedalen sogn,1,Tøftedalen,Älvsborgs län (Dalsland),Sverige
tørskog sverige,1,Torskog,Älvsborgs län (Dalsland),Sverige
vestra ed sverige,1,Ed,Älvsborgs län (Dalsland),Sverige
væstra ed sverige,1,Ed,Älvsborgs län (Dalsland),Sverige
vaarvig sverige,1,Vårvik,Älvsborgs län (Dalsland),Sverige
vårvik sverige,1,Vårvik,Älvsborgs län (Dalsland),Sverige
wedbod hæred dalsland,1,Wedbod Hæred,Älvsborgs län (Dalsland),Sverige
wene ryr sverige,1,Ryr,Älvsborgs län (Dalsland),Sverige
westre ed sverige,1,Ed,Älvsborgs län (Dalsland),Sverige
waarvik,1,Vårvik,Älvsborgs län (Dalsland),Sverige
ånimskog sverige,1,Ånimskog,Älvsborgs län (Dalsland),Sverige
årnemskog sogn sverige,1,Ånimskog,Älvsborgs län (Dalsland),Sverige
askersund sverige,1,Askersund,Örebro län,Sverige
karlskoga sverige,1,Karlskoga,Örebro län,Sverige
ørebro län,1,Ørebro,Örebro län,Sverige
norkjøping sverige,1,Norkjøping,Östergötlands län,Sverige
norrkøping sverige,1,Norrkøping,Östergötlands län,Sverige
odeshøg,1,Ödeshög,Östergötlands län,Sverige
?,1,Ukjent,,Ukjent
algier,1,Fransk Algerie,,Fransk Algerie
breda i holland,1,Nederland,,Nederland
falkenstein tyskland,1,Det tyske keiserrike,,Det tyske keiserrike
hamburg,1,Det tyske keiserrike,,Det tyske keiserrike
hamburg i rheinpfatz,1,Det tyske keiserrike,,Det tyske keiserrike
hannover,1,Det tyske keiserrike,,Det tyske keiserrike
holsten,1,Det tyske keiserrike,,Det tyske keiserrike
horsen danmark,1,Danmark,,Danmark
haabol sverige,1,Finland,,Finland
italien,1,Italia,,Italia
kalunborg,1,Kalunborg,,Danmark
kjøbenhavn danmark,1,Danmark,,Danmark
kjøbenhavn i danmark,1,Danmark,,Danmark
køln,1,Det tyske keiserrike,,Det tyske keiserrike
magdeburg tyskland,1,Det tyske keiserrike,,Det tyske keiserrike
mainz tyskl,1,Det tyske keiserrike,,Det tyske keiserrike
fød maywood see?? north america,1,USA,,USA
münchen,1,Det tyske keiserrike,,Det tyske keiserrike
